"PROVINCIA_ESTABLECIMIENTO","CANTO_ESTABLECIMIENTO","PARROQUIA_UBICACION","CLASE_ESTABLECIMIENTO","TIPO_ESTABLECIMIENTO","ENTIDAD","SECTOR","MEDICINA","CIRUGIA","GINECOLOGIA_OBSTETRICIA","PEDIATRIA","CARDIOLOGIA","NEUMOLOGIA","PSIQUIATRIA","TRAUMATOLOGIA","INFECTOLOGIA","OFTALMOLOGIA_OTORRINO","UROLOGIA","GASTROENTEROLOGIA","OTROS_SERVICIOS","SERVICIOS_INDIFERENCIADOS","CAMAS_EMERGENCIA","CAMAS_CUIDADOS_INTENSIVOS","CAMAS_DISPONIBLES_MEDICINA","CAMAS_DISPONIBLES_CIRUGIA","CAMAS_DISPONIBLES_GINECOLOGIA","CAMAS_DISPONIBLE_PEDIATRIA","CAMAS_DISPONIBLES_CARDIOLOGIA","CAMAS_DISPONIBLES_NEUMOLOGIA","CAMAS_DISPONIBLE_PSIQUIATRIA","CAMAS_DISPONIBLE_TRAUMOLOGIA","CAMAS_DISPONIBLES_INFECTOLOGIA","CAMAS_DISPONIBLES_OFTALMOLOGIA","CAMAS_DISPONIBLES_UROLOGIA","CAMAS_DISPONIBLES_GASTROENTEROLOGIA","CAMAS_DISPONIBLES_OTROS_SERVICIOS","CAMAS_DISPONIBLES_SERVICIOS_INDIFERENCIADOS","CAMAS_DISPONIBLES_EMERGENCIA","CAMAS_DISPONIBLES_CUIDADOS_INTENSIVOS","TOTAL_CAMAS_DONACION_NORMAL","TOTAL_CAMAS_DISPONIBLES","NUMERO_FALLECIDOS_MENOR_48H","NUMERO_FALLECIDOS_EN_48H_Y_MAS","DIAS_DE_ESTADA","DIAS_CAMAS_DISPONIBLES","NUMERO_DE_EGRESOS"
"Chimborazo","Riobamba","60150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"," "," ","7","7","0","1","738","2555","410"
"Chimborazo","Riobamba","60150","1","5","18","2","2","1","2","0","0","0","0","2","0","0","0","0","0","8","1","2","2","1","2","0","0","0","0","2","0","0","0","0","0","8"," "," ","15","15","1","1","1823","5475","903"
"Chimborazo","Riobamba","60150","1","5","18","2","4","2","1","2","0","0","0","0","0","0","0","0","0","0","1","0","4","2","1","2","0","0","0","0","0","0","0","0","0","0"," "," ","9","9","2","0","287","3285","183"
"Tungurahua","Ambato","180150","1","5","18","2","4","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","2","0","0","0","0","0","0","0","0","0","0"," "," ","14","14","0","2","464","5110","326"
"Tungurahua","Ambato","180150","1","5","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"," "," ","5","5","0","0","134","1825","73"
"Tungurahua","Ambato","180150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"," "," ","11","11","3","2","952","4015","475"
"Chimborazo","Riobamba","60150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"," "," ","15","15","1","2","1261","5475","686"
"Guayas","Guayaquil","90150","2","1","18","2","53","6","6","6","16","2","0","8","2","0","9","6","0","0","7","12","53","6","6","6","16","2","0","8","2","0","9","6","0","0"," "," ","114","114","23","97","19628","41724","3627"
"Guayas","Guayaquil","90150","12","3","18","2","49","0","11","36","0","0","0","0","5","0","0","0","0","0","7","10","49","0","11","36","0","0","0","0","5","0","0","0","0","0"," "," ","101","101","9","82","16962","36966","3939"
"Guayas","Samborondon","91650","12","3","18","2","13","5","0","9","0","0","0","0","0","0","0","0","0","0","0","0","13","5","0","9","0","0","0","0","0","0","0","0","0","0"," "," ","27","27","3","1","2362","4678","985"
